77,10,97,62,98,23,21,85,40,14
42,2,85,87,51,6,26,98,43,14
70,51,71,84,66,62,48,67,4,32
80,68,97,94,1,93,86,97,54,1
92,38,61,32,41,64,40,55,67,19
22,51,20,63,96,82,76,44,95,59
39,77,83,16,50,97,57,11,90,70
38,59,23,83,80,46,62,9,30,96
34,9,9,33,8,5,31,68,81,44
42,44,75,90,18,26,95,18,75,78
29,63,26,66,96,56,51,98,94,6
71,5,12,45,21,16,80,20,46,51
54,60,71,12,87,14,15,60,98,75
43,97,25,37,84,20,32,5,46,83
46,7,19,21,79,78,94,66,70,7
5,45,94,13,85,41,58,56,60,26
34,63,33,88,37,43,38,80,28,37
77,63,70,85,42,79,84,74,54,88
61,30,74,22,91,28,22,83,5,98
60,15,20,19,23,27,4,83,55,34
63,12,51,4,63,3,10,41,59,30
75,66,92,69,3,88,43,87,52,76
45,19,19,97,41,83,77,93,63,26
2,53,12,12,88,19,82,40,87,92
80,23,85,89,53,96,31,82,47,99
9,56,25,76,25,18,77,10,7,64
78,61,44,84,4,53,54,90,41,23
43,55,29,78,17,96,77,81,28,82
49,72,61,44,46,68,18,7,78,48
23,83,3,28,73,60,17,34,74,25
42,79,19,48,41,57,47,41,11,2
19,44,42,0,74,99,20,41,64,91
31,56,88,28,95,55,20,47,23,78
84,57,54,8,74,31,8,6,97,82
17,81,2,3,27,64,63,3,33,52
19,43,55,21,1,21,84,92,4,95
36,80,87,0,43,36,89,41,65,74
67,88,15,87,35,40,1,80,54,67
90,12,51,61,42,16,41,20,56,88
74,87,8,13,26,78,83,5,39,87
17,28,3,29,38,33,37,52,41,30
90,39,54,57,39,21,7,96,90,11
28,77,78,65,99,23,16,44,83,11
55,56,97,73,73,47,84,18,48,62
92,61,71,84,52,0,86,22,55,40
88,73,32,62,74,16,46,9,34,12
39,99,32,73,35,54,15,55,24,31
67,29,66,70,36,95,2,68,67,5
29,1,94,65,63,43,99,14,34,65
33,35,39,32,35,16,17,11,45,8
91,96,37,2,20,12,24,63,80,3
14,18,80,41,77,52,62,32,45,30
94,93,13,55,42,44,86,83,87,88
24,90,99,93,17,32,93,32,74,20
8,83,33,47,80,72,46,34,14,92
10,84,43,59,54,75,45,72,76,33
53,2,7,24,71,94,56,65,93,69
22,42,18,76,99,83,56,27,59,21
68,76,68,68,69,39,58,19,7,6
80,36,21,20,49,37,23,58,33,78
12,84,18,82,52,76,85,86,68,89
44,89,18,51,55,14,99,57,61,40
6,9,13,3,68,63,44,96,82,31
48,91,60,31,66,59,71,36,20,56
66,36,65,20,42,62,15,8,0,64
80,54,83,32,56,92,73,27,90,34
43,19,62,95,35,32,7,34,2,33
16,69,21,82,0,87,4,91,8,59
45,87,67,67,45,27,71,53,18,88
33,64,95,75,54,97,24,45,9,37
80,53,8,85,62,64,0,57,38,60
2,77,45,58,46,98,73,61,28,64
71,68,25,34,98,24,73,40,14,81
42,23,90,91,2,27,65,44,3,84
7,66,43,55,69,5,66,72,12,57
3,48,84,4,52,92,5,93,18,30
45,41,25,43,87,12,83,29,28,84
94,48,15,50,33,61,57,94,54,76
77,44,10,27,30,37,90,30,87,29
66,3,5,35,90,12,97,8,94,83
54,0,89,43,82,35,12,12,84,29
33,12,62,43,65,32,38,57,61,94
92,78,35,36,72,19,56,38,11,51
41,86,26,9,3,28,33,50,71,80
12,78,43,80,93,32,67,39,16,74
37,57,2,10,66,45,43,71,34,43
41,22,44,34,24,74,31,28,71,97
66,46,55,67,12,60,0,63,47,35
51,83,80,58,2,37,21,79,26,25
90,35,10,19,20,8,75,82,46,39
37,77,14,31,44,66,59,71,0,88
82,0,49,78,93,94,82,42,42,28
64,7,79,38,92,36,11,80,34,47
70,25,98,73,47,54,28,26,36,41
45,82,56,47,17,23,15,11,66,53
89,99,63,10,66,18,22,66,82,65
49,1,79,0,88,25,26,11,47,59
67,86,37,37,99,27,40,82,92,66
6,28,71,8,82,48,60,16,26,99
89,78,8,55,87,71,43,83,91,15
