944,415,563
386,293,637
664,737,869
672,499,448
440,566,573
10,862,969
383,356,893
873,596,931
386,93,66
232,569,639
42,59,58
491,650,480
59,115,209
955,136,622
124,633,117
66,51,123
153,639,559
371,82,546
522,129,301
864,767,138
718,196,685
672,48,65
667,26,254
802,265,582
338,289,841
115,665,489
151,518,638
592,835,135
253,996,624
271,639,144
44,232,816
194,504,190
736,754,199
570,70,503
896,201,744
467,343,147
994,797,924
376,994,540
290,661,800
173,642,884
807,739,691
820,21,969
816,591,434
940,932,436
355,218,42
524,247,794
962,490,254
113,336,572
626,296,354
877,485,249
235,390,471
768,851,415
974,779,135
997,359,952
740,104,292
40,199,689
634,75,191
927,532,565
582,947,930
889,280,847
453,399,855
770,10,515
798,586,438
990,968,234
409,291,236
464,138,593
119,282,841
158,562,115
79,649,390
909,92,484
717,618,647
424,387,278
851,270,547
914,825,212
960,267,914
811,83,735
649,68,297
373,425,912
943,741,339
860,925,558
46,461,174
185,955,726
641,619,673
472,935,152
54,431,555
772,330,927
290,445,682
418,326,812
75,350,621
810,318,213
223,405,980
223,307,419
49,394,127
748,83,290
361,213,922
667,156,852
243,80,811
495,78,63
154,545,206
1,197,710
